"Region","Periodo","Gasto_Real_Mensual_PerCapita","Gasto_Nominal_Mensual_PerCapita"
La Libertad,2024,933.226318359375,740.0237426757811
Lambayeque,2014,912.273620605469,499.4761
Lambayeque,2015,963.625061035156,539.0538
Lambayeque,2016,1021.4730834960938,591.589
Lambayeque,2017,1019.8877563476562,613.0836
Lambayeque,2018,1107.4705810546875,672.13623046875
Lambayeque,2019,1165.0062255859375,717.568054199219
Lambayeque,2020,1001.7807006835938,631.377990722656
Lambayeque,2021,1039.236328125,700.744140625
Lambayeque,2022,1072.0977783203125,794.497619628906
Lambayeque,2023,1032.85498046875,813.4466552734375
Lambayeque,2024,1037.709716796875,825.8561401367188
Lima,2014,868.476135253906,520.9644
Lima,2015,882.728515625,538.6896
Lima,2016,907.6356201171876,575.8349
Lima,2017,864.6278076171875,564.6496
Lima,2018,896.5154418945312,594.398193359375
Lima,2019,877.8333740234375,592.032531738281
Lima,2020,792.3591918945312,544.900634765625
Lima,2021,801.5340576171875,579.904174804688
Lima,2022,872.0951538085938,681.78515625
Lima,2023,870.7481079101561,721.62255859375
Lima,2024,871.348388671875,737.622802734375
Lima Metropolitana,2014,1143.14611816406,816.3158
Lima Metropolitana,2014,1143.14611816406,828.3069
Lima Metropolitana,2014,1159.86999511719,816.3158
Lima Metropolitana,2014,1159.86999511719,828.3069
Lima Metropolitana,2015,1178.9814453125,855.5577
Lima Metropolitana,2015,1178.9814453125,868.7833
Lima Metropolitana,2015,1197.07373046875,855.5577
Lima Metropolitana,2015,1197.07373046875,868.7833
Lima Metropolitana,2016,1199.57177734375,903.8754
Lima Metropolitana,2016,1199.57177734375,917.7177
Lima Metropolitana,2016,1217.92138671875,903.8754
Lima Metropolitana,2016,1217.92138671875,917.7177
Lima Metropolitana,2017,1196.652587890625,927.3475
Lima Metropolitana,2017,1196.652587890625,942.9954
Lima Metropolitana,2017,1216.7911376953125,927.3475
Lima Metropolitana,2017,1216.7911376953125,942.9954
Lima Metropolitana,2018,1200.036376953125,945.262756347656
Lima Metropolitana,2018,1200.036376953125,962.177124023438
Lima Metropolitana,2018,1221.283203125,945.262756347656
Lima Metropolitana,2018,1221.283203125,962.177124023438
Lima Metropolitana,2019,1196.1016845703125,963.730346679688
Lima Metropolitana,2019,1196.1016845703125,979.929748535156
Lima Metropolitana,2019,1215.899658203125,963.730346679688
Lima Metropolitana,2019,1215.899658203125,979.929748535156
Lima Metropolitana,2020,959.4567260742188,787.261474609375
Lima Metropolitana,2020,959.4567260742188,800.496215820313
Lima Metropolitana,2020,975.2413940429688,787.261474609375
Lima Metropolitana,2020,975.2413940429688,800.496215820313
Lima Metropolitana,2021,997.16845703125,859.366455078125
Lima Metropolitana,2021,997.16845703125,873.063110351563
Lima Metropolitana,2021,1012.8026733398438,859.366455078125
Lima Metropolitana,2021,1012.8026733398438,873.063110351563
Lima Metropolitana,2022,992.784240722656,925.228515625
Lima Metropolitana,2022,992.784240722656,941.789001464844
Lima Metropolitana,2022,1010.3226318359376,925.228515625
Lima Metropolitana,2022,1010.3226318359376,941.789001464844
Lima Metropolitana,2023,989.2095336914062,968.4627685546876
Lima Metropolitana,2023,989.2095336914062,985.091064453125
Lima Metropolitana,2023,1006.2025146484376,968.4627685546876
Lima Metropolitana,2023,1006.2025146484376,985.091064453125
Lima Metropolitana,2024,989.880920410156,989.880920410156
Lima Metropolitana,2024,989.880920410156,1005.883056640625
Lima Metropolitana,2024,1005.8833618164062,989.880920410156
Lima Metropolitana,2024,1005.8833618164062,1005.883056640625
Madre de Dios,2014,1060.98986816406,692.5377
Madre de Dios,2015,1030.0914306640625,666.2559
Madre de Dios,2016,1023.1632080078124,676.6312
Madre de Dios,2017,1068.6768798828125,723.7055
Madre de Dios,2018,1096.076904296875,762.169860839844
Madre de Dios,2019,1056.95654296875,747.10205078125
Madre de Dios,2020,917.3128051757812,661.945007324219
Madre de Dios,2021,1024.2596435546875,798.335205078125
Madre de Dios,2022,950.1593017578124,820.706665039063
Madre de Dios,2023,902.4894409179688,832.4896240234375
Madre de Dios,2024,937.2879028320312,869.6097412109375
Moquegua,2014,1148.73193359375,675.8665
Moquegua,2015,1184.5433349609375,701.6984
Moquegua,2016,1194.079345703125,732.9015
Moquegua,2017,1199.491943359375,754.8935
Moquegua,2018,1215.828369140625,777.453125
Moquegua,2019,1217.872314453125,796.768249511719
Moquegua,2020,1037.919921875,688.432189941406
Moquegua,2021,1125.60546875,788.741577148438
Moquegua,2022,1154.0621337890625,896.139038085938
Moquegua,2023,1174.115966796875,966.753967285156
Moquegua,2024,1163.878662109375,976.279052734375
Nacional,2014,920.066833496094,571.613
Nacional,2015,941.9255981445312,595.672
Nacional,2016,961.405334472656,630.9577
Nacional,2017,959.4122924804688,649.1086
Nacional,2018,975.6355590820312,671.830810546875
Nacional,2019,986.3634643554688,694.492309570313
Nacional,2020,829.595703125,593.700012207031
Nacional,2021,880.7333984375,662.756042480469
Nacional,2022,887.0587768554686,725.75390625
Nacional,2023,880.5473022460938,761.2581787109375
